,Resume Category,Cleaned Resume Text
0,Facilities and Operations,Professional Experience Training Program Assistant Christian Family Care Completed Foster Parent College training program through Christian Family Care gaining a comprehensive understanding of foster care and adoption processes Demonstrated commitment to supporting vulnerable children by registering as a prospective foster parent with Christian Family Care Acquired valuable insightsinto the unique needs and challenges of foster children and familiesthrough interactive training sessions Engaged actively in discussions and workshops aimed at developing effective parenting skills and creating nurturing environmentsfor foster children Dedicated to upholding Christian Family Cares mission of providing stable and loving homesfor children in need through fostering and adoption Tobacco Cessation Health Coach Pivot Health Technologies Inc Implemented personalized tobacco cessation plansfor clients utilizing evidencebased strategies and motivational interviewing techniquesto support behavior change Conducted oneonone coaching sessions and group workshops guiding individualsthrough the stages of quitting smoking and developing coping skillsto overcome triggers and cravings Collaborated with healthcare providers and insurance partnersto integrate tobacco cessation servicesinto comprehensive wellness programs resulting in increased engagement and improved health outcomes Utilized digital health platforms and telehealth servicesto provide convenient and accessible support to clients monitoring progress and adjusting treatment plans as needed Contributed to program development and quality improvement initiatives including the creation of educational materials training modules and outcome tracking toolsto enhance the effectiveness of tobacco cessation interventions Cancer Registrar II Mayo Clinic Proficiently manage and maintain cancer registry database ensuring accurate and timely collection abstraction and coding of patient information according to established standards and guidelines Conduct comprehensive case reviews analyzing medical records pathology reports and other clinical documentsto extract pertinent data elementsfor cancerstaging treatment planning and research purposes Collaborate with healthcare providers clinicians and otherstakeholdersto ensure completeness and accuracy of cancerrelated data facilitating interdisciplinary communication and coordination of patient care Utilize cancer registry software and electronic health recordsEHRsystems proficiently to enter validate and maintain patient data generating reports and statistical analysesto support quality improvement initiatives and research projects Stay abreast of updates and changesin cancerstaging criteria coding guidelines and regulatory requirements participating in continuing education activities and professional development opportunitiesto enhance knowledge and skillsin cancer registration practices Coaching Weight Loss Group Wellness CoachingFacilitator once a week for five weeks Weight Wellness Solutions Poster PresentationMayo Clinic Quality Symposium Depression Anxiety Recovery ProgramFacilitator once a week for eight weeks
1,Facilities and Operations,SUMMARY OF QUALIFICATIONS Maintained customer files and profit documentation Managed client relationships email communication and Kukui message Proactive enthusiastic highcapacity professional with a Tracked and cleaned up database system Excel desire to learn and build an exceptional work Coordinated movement of vehicles in shop aligned services based on priority environment Managed vehicle placement at EOD based off of schedule for upcoming shift Responsible efficient and flexible hard worker quick Supported vehicles by allocating resources and scheduling vehicle maintenance learner able to work independently and successfully in a Completed closing duties and analyzed daily profits team Positive attitude thoughtful and attentive to Created reports and logs for companys weekly progressions quality and detail RESEARCH AND DEVELOPMENT TEST SPECIALIST Cruise LLC Autonomous Vehicle Dept March December Entrused with high level priority test in the R amp D testing program Communicated across departments for test results and escalated behavior issues Gathered documented and recorded data using Jira Excel and Confluence Proactively coordinated with Product Ops Mapping team to deliver more consistent communication and collected better data for team Explained technical concepts clearly and simply as a cross functional member Monitored and reported smoke testing and sanity testing on new branch releases Worked with and alongside the hardware team UXUI team and project managers Highlighted regressions and progressions of the vehicles technical capabilities Monitored errors with exceptional troubleshooting techniques Identified data trends diagnosed and resolved vehicles technological errors Provided feedback for technological improvements for DevOps and Engineering Contributes ideas to operations to improve companys progress Chosen for VIP demo rides and always focused on being a great Cruise Ops ambassador during vists from General Motors team members RESEARCH TEST ASSISTANT Winter to December Tragon Corporation with Spectra Greeted customers and introduced customers to company being presented Lead organized and followed time requirements to gather customer responses WAITRESS January to September Bacheesos Restaurant Maintained positive customer relationship Kept restaurant clean and organized as front of house waitress Resolved customer questions and complaints with respect EDUCATION San Francisco State University Bachelor of Arts in English Philosophy and Religion ADDITIONAL TRAINING Business Analyst Course Completion CPE with Aurora Waterful and Scrum background Safe Agilist Course Completion SKILLS MS Office proficiency Excel intermediate proficiency additiona software and tools include Jira Confluence Slack Google Suite Terminal Can Logger Visio Figma
2,Engineering Roles,Objective RampD Assembly and Test Operator Challenging and responsible position where I can fully utilize my education experience capabilities to become a valued employee Summary Methodicalfunctions well within fluctuating volumes and deadlines Problemssolverworks well under pressuremakes logical decisions And responsibilityorganization skillsbelieves in team building Team player Experience Velodyne Lidar Kelly Services San Jose CA MRB Material Review Board Coordinator Maintaining quality inspection documentation Moving inspected material out of MRB Ensuring that all MRB documentation is prepared and distributed Coordinating the daily MRB meeting Maintaining receiving inspection documentation Interface with RampD Engineering group Test PCB Use magnification aids and microscope to solder components and ECO adhering to IPC current revision standard requirement Read understand and follow drawings and schematic specification and requirements as applied to assembly projects Operate power tools hand tools and special tools on wiring and soldering Using small tools able to work and solder under microscope and thruhole soldering parts Mechanical assembly build spindlerotor units cable and wiring QA Inspection capable handling multitask Data Entry typing serial number documents files and print drawings Earlen Corporation Volt Workforce Agency Fremont CA Quality Control Inspector Interface with Engineering RampD new Project Vendor ordering parts Test boards Update new ECOs and ECNs PCB layout Touchup Rework Soldering Cable Wiring using hot plateheat air blow Document Control department online system organized maintain and receive existing update of documentation Bill of Material BOMs and updated part number request maintain databases review and approval by Manager before release Reviewed different designs of documentation Inspection capable handling multi task Create process organization request vendor and production line ECOs ECRs incorporation and redlines request QA Inspection capable handling multitask Data Entry typing serial number documents files and print drawings National Instrument Phase Matrix Santa Clara CA Interface with RampD Engineering group Modify for new Project Update ECO RF components PCB layout read drawings and bill material detail instruction request to build new board and Rework Use magnification aids and microscope to solder components and ECO adhering to IPC current revision standard requirement Using hand tools such as tweezers to manually assembly components to PCBs Hot plate and blow heat air machine to remove or add components epoxy and time setting in oven Operate power tools hand tools and special tools on wiring and soldering Using small tools able to work and solder under microscope and thruhole soldering parts Mechanical assembly build mainfame cable and wiring QA Inspection capable handling multitask UNISEM TEST Sunnyvale CA Test Operator RampD Assembly Interface with Engineering RampD new Project IC Test machine operation Update new ECOs and ECNs PCB layout surface mount Touchup Rework Soldering Document Control department online system organized maintain and receive existing update of documentation Bill of Material BOMs and updated part number request maintain databases review and approval by Manager before release Reviewed different designs of documentation QA Inspection capable handling multi task Packaging labeling serial number ECOs ECRs incorporation and redlines request from engineering Looxcie Sunnyvale CA RampD Tester Assembly amp Mechanical assembly RampD with Engineering new Project and with Coordinates Tester operator unit system Update new ECOs and ECNs PCB layout Rework touchup Soldering Cable harness wires read blue prints Mechanicals Assembly receive existing update of documentation Generate Bill of Material BOMs of device creation and new Rev QC inspection before released and update redline markup request Maintain and organized test system Scan serial number and enter in databases system Inventory all documentation Capable handling multitask Sun Microsystem Menlo Park CA RampD Mechanical Drafting Design Interface with Engineering RampD new Project Vendor ordering parts Test boards Update new ECOs and ECNs Meet with groups feedback of any project need and report all files receive existing update of documentation Create and process organization request from vendors and production lines Document Control department online system organized maintain and receive existing update of documentation Create process organization request vendor and production line ECOs ECRs incorporation and redlines request from engineering check drawings documentation requirements Design new RampD analysis project Produce models industry standard Use MCAD software to create solid models Use AutoCAD drawings for ECPs ECR Detail technical drawings multiview drawings D dimensions Layout intergraded mechanical parts amp electronic subassembly Education CCOC San Jose CA Mechanical Draft Designers Mission College Sunnyvale CA General Classes Oak Ridge High School Orlando Fla Graduated Reference Available upon request
3,Engineering Roles,SUMMARY An EMC Test Engineer with years of extensive experience in the methodologies of compliance testing and EMI troubleshooting for the following fields North American commercial emissions testing FCC ANSI C Military MILSTDFG Automotive ISO CISPR ISO series Medical IECEN ITE Multimedia Equipment CISPR EN EN EN EN Industrial Scientific and Medical ISM RF Equipment EN Measurement Control Laboratory Equipment EN Full scope of IECEN X series EDUCATION BS Electrical Engineering University of California Davis Deans List for College of Engineering EXPERIENCE CKC Laboratories Inc EMC Test Engineer Responsible for operating EMCEMI testing facility for both emissions and immunity Develop and validate test methods to support unique customer requirements EMIEMC testing and troubleshooting with customers for compliance Ability to tackle customer facing ITARnonITAR projects working with external engineers on prototype electronic products with minimal familiarity Extensive knowledge on operating test equipment such as spectrum analyzers signal generators high powered amplifiers directional couplers current injection probes electric field probe monitors programmable power supplies ESD simulators transient generators LISNs oscilloscopes etc Performed calibrations on several laboratory equipment transient generator cable insertion loss LFHF antenna amplifier operational checks directional coupler checks anechoic chamber site verifications Audited on two separate occasions and passed both without any nonconformities LightRiver Technologies Inc Associate Optical Field Engineer Testing troubleshooting deploying and turning up DWDM networks at data centers sites across the US Lead field engineer that oversaw multiple network projects site surveys and fiber optic characterization Trained in understanding WDM OTN Packet Optical Carrier Ethernet and IPMPLS network Keysight Technologies Product Engineering Intern Innovated a process to reduce electrical resistance in conductive epoxy in packaged ICs which ultimately can increase the yield of parts affected by Wrote a process change proposal for the characterization and reduction of electrical resistance of the epoxy used to bond ICs to the package floor Assisted in the failure analysis of TC frequency dividers by utilizing a programmable network analyzer to check power received in select divide modes
4,Management,Hello Im currently working on a degree in Sport Management at the University of San Francisco Im also a Coordinator Event amp Sport Operations for UC Berkeley and Team Administrator for Oakland Roots SCProject O I want to obtain an opportunity that will provide value to a successful organization while building knowledge and an array of skill sets Education Experience Coordinator Event amp Sport Operations Master of Arts UC Berkeley Athletics Feb Present University of San Francisco Sport Management Build strong relationships with the Directors of Operation Assistant Coaches and Head Coaches of Sport Programs Basketba Bachelor of Science Serve as Baseball amp Soccer Event Manager and Asst of Operations Budgeting vendor payments scheduling media days event plans Florida Atlantic University Coordinate amp Welcome Visting Teams Operation Personnel Officials Exercise Science amp Health Promotion PAC networks Landmark Security Serve as managermain point of contact Cal Student Workers in the Associate of Science Delegation Supervision Development Monthly Scheduling Keiser University Meet weekly with Baseball and Womens Water Polo Coaching Staff to Sport Medicine amp Fitness Technology assist with any projects andor administrative needs Responsible for ordering supplies through internal purchasing system Abilities Health Coach Proficient in Microsoft Office Suite GSuite BOX and Canva JumpstartMD Jul Feb Graphic design Illustrator Conduct medical assessments and procedures EKG blood pressure Strong organizational and and vitamin B and B injections relationship building Analyze and educate body composition reports via InBody Machines Effective communication skills Evaluate and track health metrics to meet patients goals Motivational interviewing body Educate patients lifestyle modifications nutrition sleep and strength composition analysis fitness Build healthy relationships to promote trust and long term success evaluation and report compilation Conduct on average oneonone daily lifestyle consultations Exercise assessments amp EKG analysis MANUEL ARIZMENDI JR USF SPORT MANAGEMENT GRADUATE Language Experience Fluent in Spanish Health amp Fitness Specialist Certifications EXOS Feb Feb EXOS Health Fitness Specialist Perform fitness assessments determine exercise prescriptions and First Aid CPR AED certification design workout programs for diverse population Present and create health and wellness programs strength endurance Awards mental health and nutrition corporate members Produce virtual seminars back health nutrition stress management SF Giants Pat Gallagher Fellow Design digital wellness programs presentation decks exercise videos and monthly newsletters Film and edit wellness and strength amp conditioning videos Billing management memberships and point of sale goods Track health metrics for members and clients Sale personal training packages and sessions Manage daytoday facility operation open procedures aerobic classes massage rooms and wellness programs Exercise Physiologist Fitness Leader Memorial West Hospital Fitness amp Rehabilitation Feb Jul Assess patients cardiac muscular and endurance health to determine their level of physical fitness Assess patients who have graduated from their cardiac rehab program or physical therapy to determine goals for Resoultion Program Perform EKG interpretation cardiac assessments blood pressure and pulse oximetry readings Communicate with physicians about patient findings medications and progress reports Design exercise prescriptions based on patients needs and goals Educate patients on nutrition stress management and lifestyle
5,Information Technology (IT),WORK EXPERIENCE Research Associate School of Information UT Austin Austin Texas Oct Present Working in the HumanArtificial Intelligence Interaction lab to conduct literature review research and design a data collection tool using Figma and create interactive data visualization on Tableau to shape user workflow strategies UX Researcher Dell Medical School Remote Jan May Defined the research questions created the research protocol and spearheaded a comprehensive research plan for a healthcare informatics application achieving a monthly ROI of resulting in annual cost savings of over Executed usability tests with users for the existing and proposed redesign depicted reduction in time on task Designed the prototypes in Figma resulting in a SUS score of for the new design against for the existing design UX Researcher Indeed Austin Texas Jan Apr Conducted inperson ethnographic interviews with employers in SMBs to identify challenges in the hiring process Synthesized findings from exploratory research to devise conceptual solutions and designed the prototypes in Figma Conducted intercept testing with users to evaluate the concepts yielding an average user rating of out of UX Researcher Crave Retail Remote Aug Dec Collaborated in an agile environment to conduct design review for customerfacing applications and resolved issues Analyzed datasets from internal app data using Tableau to track user behavior for informing service design strategies UX Researcher Dropoff Inc Austin Texas Jun Jul Led a qualitative research plan to validate the design and functionality of an inhouse website used by employees Conducted remote contextual inquiries with users in a crossfunctional team to observe the behavior and workflow Detected areas of advancement through qualitative data analysis and delivered researchbacked actionable insights to stakeholders including engineers product managers and upper management through a presentation Lead User Researcher and Content Strategist ABG Chennai India Nov Jul Led and managed a team of in conducting generative and evaluative research studies to generate content strategies for digital media platforms resulting in organic increase in followers reach and engagement in less than years PROJECTS MixedMethod Usability Research on Indeed app for Job Seekers Crafted the discussion guide and tasks recruited participants acted as the moderator note taker andor time keeper for comparative usability tests and employed statistical data analysis methods indicating difference in efficiency Produced UX benchmarking reports and utilized storytelling techniques to communicate insights to stakeholders MediaN App Research amp Design of a Social Networking Platform Conducted foundational research to gather insights about the media industry to formulate the product idea by assessing opportunities through surveys indepth interviews and competitor analysis Crafted task scenarios and set up the test plan for unmoderated user testing that facilitated iterative improvements EDUCATION CGPA Austin Texas Master of Science in Information Science specialized in UX Research and Design The University of Texas at Austin CGPA Chennai India Bachelor of Engineering in Computer Science and Engineering Sri Venkateswara College of Engineering SKILLS Research User Interviews Usability Testing Surveys Card Sorting Focus Groups Competitors Analysis Ethnography Heuristic Evaluation User Journey Mapping Affinity Mapping Task Analysis User Stories AB testing Data Analytics Design Design Thinking Wireframing Prototyping User Flows Storyboarding User Personas Information Architecture Tools Tableau SurveyMonkey Qualtrics Microsoft Suite Google Suite Figma UserZoom Miro Jira Programming Languages R SQL C Java HTML CSS
6,Engineering Roles,Bachelor of Mathematics in the Application of San Jose State University Masters degree in data analysis With data science and data analysis endtoend analysis data modeling and big data and quality assurance experience Solid data analysis professional background with extracurricular participation in Google Data Analysis Training Project Data Analysis Database Data Analysis DataStudio Creating DataPipeLine and obtains certificates Can quickly adapt to teamwork with strong selfmanagement awareness and selflearning ability EDUCATION San Jose State University Data Analysis Main Curriculum Data Management System Big Data Technology and Applications Mathematical methodology of data analysis Data Visualization Machine Learning Technologies Data Mining and Analytics Deep Learning Technologies San Jose State University Applied Computational Mathematics Main curriculum Introduction to R language Data Structure and Algorithms Applied Probability and Statistics Numerical Analysis Graph theory Mathematical Modeling for Life Science Differential Equation and Dynamical System Linear Algebra Discrete math Calculus PROFESSIONAL SKILL Analysis Advanced SQL Tableau PowerBI Excel Data Studio Data Science Python Pandas NumPy Sklearn Tensorflow Matplotlib R JAVA Shell Machinelearning models Statistics AB Test Hypothesis test Z test T test F test ChiSquare ANOVA analysis Database MySQL PostgreSQL BigQuery ETL pipeline Google Cloud Platform Quality Assurance Product Analysis Creating Test Plan and Strategies Risk Assessment Automation Bug Triaging Rootcause Analysis CERTIFICATE Google Cloud Training From Data to Insights with Google Cloud Specialization Core Course Certificates Completed Exploring and Preparing your Data with Big Query Creating New Big Query Datasets and Visualizing Insights Achieving Advanced Insights with Big Query Applying Machine Learning to your Data with GCP PROFESSIONAL EXPERIENCE Apple Inc Quality Assurance Engineer Collaborated within a fivemember WatchBTQA team playing a key role in automation efforts Involved in bug triaging root cause analysis and defining test approach via internal Apple tools Executed comprehensive test plans identified defects and filed over radars and collaborated with crossfunctional teams to ensure toptier product quality Developed and maintained automated test scripts over multiple projects reducing manual testing time for more than and enhancing testing coverage Recognized for contributions to successful AppleOS product launches Once identified and successfully resolved a critical root regression that had eluded detection by the project team Proficient in data visualization for QA analysis such as testing report helped tracking of project progress in a timely manner and help improve decisionmaking processes Ipsos China Data Analysis Intern Used Python for automated data collection data cleaning and data conversion and optimized the preparation time for analysis data by Through SQL and tableau extracted the quarterly data about business number data of an insurance companys sales agent activities and customer subscriptions analyzed and organized the collection into the companys quarterly report Cooperated with fastmoving consumer companies and conducted market research on energy drinks and their potential customers collected more than questionnaires and then analyzed the differences in demand for energy drinks by different factors population region etc CRCC Data Engineering Intern Used classification deep learning model in Linux environment to assist the quality control team in monitoring and predicting defective products Collected extracted and cleaned up data sets from k videos through Python and used bounding boxes to label data pictures Processed GBDT and CNN models and evaluated the accuracy of model and the bolt detection model reached a model accuracy rate of PROJECT EXPERIENCE LiDAR DataDased Sea Level Prediction for California USA Deep Learning Model Obtained monthly sea level data for the California coast from to build a time series model that can predict sea level changes in cities along the California coast over a certain period of time Performed data preparation using Python including but not limited to data integration data cleaning data transformation and exploratory data analysis of model data collected from LiDAR radar meteorological CO and ice cover melt datasets Implemented and evaluated various machine learning models such as MLP LSTM CNNLSTM prophet and xgboost Developed user interface that integrated gradios web modeling Google Data Studio panels and Google Maps to visualize geolocation data Predict Cardiovascular Disease Using Data Mining Techniques Data Mining Based on records studied the performance of multiple heart disease models The best model achieved an accuracy of Models included KNN LR DT SVM RF and ensemble models Applied multiple data mining techniques to dataset including exploratory data analysis data cleaning feature selection and ROC analysis COVID Fake News Detection Classification Model Exploratory data analysis and data cleaning of the Twitter data set through Python which consisted of tagged tweets Established machine learning models including KNN Naive Bayes RF etc for false news detection and built a stacking ensemble model so that the model achieved the best accuracy of
7,Information Technology (IT),UX Researchermark Healthcare amp mark stylebackgroundcolorADFEducation Technology Specialistmark Sunnyvale CA Email me on Indeed httpwwwindeedcomrRoseLaiaeecaa Clinician mark stylebackgroundcolorADFEducatormark turned mark stylebackgroundcolorADFUX Researchermark with years of mark stylebackgroundcolorADFresearch experiencemark in tech healthcare and education I planned amp led endtoend research globally amp locally from building products for billion mark stylebackgroundcolorADFWhatsAppmark users to driving transformative behavioral changes for students with disabilities Fueled by a growth mindset amp a passion for social impact Im driven communicative and detailoriented Willing to relocate Anywhere Authorized to work in the US for any employer Work Experience mark stylebackgroundcolorADFUX Researchermark Meta Menlo Park CA June to June Drove design decisions for the global launch of mark stylebackgroundcolorADFWhatsAppmark Call Links by leading evaluative research interviews amp usability tests to deliver actionable insights for stakeholders in a tight launch timeline Influenced product vision amp roadmap for mark stylebackgroundcolorADFWhatsAppmark Calling across multiple platforms amp devices by leading foundational research in countries through aligning goals with stakeholders analyzing data to generate insights and facilitating discussion with PMs amp designers to identify strategic opportunities Advocated for users amp the importance of UX Research by delivering presentations to increase cross functional partners understanding of mark stylebackgroundcolorADFWhatsAppmark users and their behaviors trends and needs Built an online research library to organize knowledge for the entire Calling team by aligning knowledge gaps with stakeholders prioritizing needs and doing literature reviews on Research amp Data Science mark stylebackgroundcolorADFSenior Behavior Analystmark Chancelight Behavioral Health Therapy amp Education San Jose CA May to April As the School Site Leader I managed clinical teams and led research projects to identify students amp educators needs proposed strategies and collaborated with stakeholders to drive behavior changes Achieved adoption of a new mark stylebackgroundcolorADFdata collectionmark system across campuses by enhancing usability via conducting evaluative research identifying pain points and presenting design recommendations Boosted campus security amp visitor tracking with a increase in guest signin usage via improved UX from interviews usability tests and actionable insights shared with crossfunctional stakeholders Created a safer mark stylebackgroundcolorADFlearning environmentmark by reducing crisis cases by through implementing refined mark stylebackgroundcolorADFcrisis managementmark protocols developed via interviews surveys field observations and mark stylebackgroundcolorADFdata analysismark Led multiple endtoend research studies simultaneously including aligning goals with stakeholders to create research plans moderating interviews and generating amp sharing actionable recommendations Behavior Clinician Trumpet Behavioral Health Palo Alto CA February to April Expanded geographic presence by establishing a new clinic location and building clinical teams to deliver mark stylebackgroundcolorADFcomprehensive behavioral analysismark services for children with disabilities in clinics and schools Managed teams in providing personalized intensive interventions resulting in significant skill advancements for clients via behavioral research mark stylebackgroundcolorADFdata analysismark and customized program designs mark stylebackgroundcolorADFBehavior Program Supervisormark Sum of Learning Seattle WA September to January Drove increase in prosocial behaviors for teenage clients by launching researchbased behavior change programs and effectively collaborating with crossfunctional teams to influence actions Conducted interviews surveys field observations to test hypotheses evaluate program effectiveness amp iterate program designs Presented actionable insights to stakeholders to drive behavioral changes Education Masters in Applied mark stylebackgroundcolorADFBehavior Analysismark University of Washington Seattle WA to Bachelors in Translation Hong Kong Baptist University to Skills mark stylebackgroundcolorADFUsability Testingmark Usability Studies Field Studies Field Observations User Interviews Indepth Interviews Qualitative Research Evaluative Research Foundational Research Surveys Diary Studies mark stylebackgroundcolorADFData Analysismark Presentation Storytelling mark stylebackgroundcolorADFStakeholder Managementmark mark stylebackgroundcolorADFProject Managementmark mark stylebackgroundcolorADFBehavior Analysismark Collaboration Communication Attention to Details mark stylebackgroundcolorADFUser Experiencemark UX Healthcare Special Education mark stylebackgroundcolorADFProduct Developmentmark mark stylebackgroundcolorADFUser researchmark Research mark stylebackgroundcolorADFProduct managementmark Usability mark stylebackgroundcolorADFProject managementmark Interviewing mark stylebackgroundcolorADFCommunication skillsmark Languages mark stylebackgroundcolorADFCantonesemark Fluent mark stylebackgroundcolorADFMandarinmark Fluent mark stylebackgroundcolorADFEnglishmark Fluent mark stylebackgroundcolorADFChinesemark Fluent Links linkedincominroselai Certifications and Licenses BCBA
8,Engineering Roles,Objective Mechanical Engineering intern fabrication and prototyping Education San Jos State University Charles W Davidson College of Engineering San Jos CA o Bachelors Degree in Mechanical Engineering Projected Graduation May Skills years experience in AutoCAD MATLAB and Solidworks o Certified Solidworks Associate in Mechanical Design years freelance computer repairmaintenance experience years experience in PLA D printing Cura slicing software Projects Robotic Surgical Care System current Designed and tested rapid prototyped parts for final product determined linkage stress amp strain for efficient D printing by reducing general time to print by hours allowing for more prototype production over shorter spans reduction of three days to two for entire assembly print Worked and delivered camera learning mounting for end effector to improve camera field of view and lower maintenance time generating less errors in software and accommodating for a wider range of camera views by percent from trial runs and increasing reliability by percent Formula SAE Laguna Seca Track Trial Fall Member of electrical design team worked on and delivered modifications to powertrain and drive systems for improved efficiency letting battery efficacy rise approximately percent Responsible for powertrain layout focusing on battery placement created and implemented a compact power delivery system reducing center of mass skewing and allowing for a more robust battery package increased theoretical motor rating of kW Work Experience Tesla Inc Fremont CA June July Prototype Vehicle Test Operator Responsible for automotive amp durability testing of prototype vehicles configured to a variety of powertrain or capacity configurations allowing for designers amp inhouse engineers to iterate improvements based on established testing protocols Inspected tested and measured vehicles ontrack and using inhouse systems that include dynamometers manual recalibration and computer diagnostics promoting precision in test results utilized by the feedback team to suggest overall internal improvements for vehicles Provided important feedback to administrators and supervisors regarding function performance reliability and specifications to facilitate critical design modifications that created an overall more efficient amp reliable vehicle system testbed Performed maintenance amp modification to onboard systems during testing as needed or required to assure optimal performance amp reliability of prototype vehicles creating a more robust amp efficient testing cycle that allowed for more test cycles per vehicle charge
9,Information Technology (IT),WORK EXPERIENCE Nanosys Inc Milpitas CA Dec Feb Senior Reliability Technician Ensured reliability of inhouse and customer products for short and longterm testing Performed routine measurements of product samples based on specific SOP timings Managed over thousands of samples with manual timekeeping and periodic inspections Handled nonstandard samples for varied testing procedures Collaborated with multiple scientists and customers to ensure accurate reliability data Worked closely with RampD on rapidly changing sample sets and SOPs Received training and worked with various testing and measurement platforms involving spectral analysis Maintained and inspected all reliability work areas according to chemical safety guidelines Responsible for daily maintenance of all testing platforms and temperaturehumidity chambers Trained multiple personnel on reliability procedures and processes Improved and automated reliability measurement schedules and testing control Joint ANITABEACON Research San Luis Obispo CA Apr Dec Research Assistant Prototyped a new calibration device for highfrequency signal pulsing Worked with fieldprogrammable gate array FPGA to output adjustable signals Provided onsite assistance for fieldwork in project BEACON campaigns Collaborated with research partners to gain insight on radio detection of highenergy particles Frost Undergraduate Research San Luis Obispo CA Jun Aug Research Assistant Prototyped lowcost lighting fixtures for deployment in rural Africa Experimented with solar panels for power efficiency and cost reduction Integrated product with existing technology of electric cookers and solar electricity Worked and provided assistance to other research teams in new solar technology EDUCATION Sept Dec GPA California Polytechnic State University San Luis Obispo CA BS Physics Minor in Astronomy De Anza College Cupertino CA Sept June GPA SKILLS Programming Python Matlab LabVIEW C Technologies amp Software MySQL Linux Git HTML CSS Latex
